"Event" "Date" "Miyu Yamashita" "KANNA" "Chikage Kiba" "Shoko Nakajima" "Ayumi Takada" "Nonoko" "Yuka Sakazaki" "Ura Erika" "Rika Tatsumi" "Erin" "Saki Akai" "Akane Miura" "Ai Shimizu" "Hyper Misao" "MIZUHO" "Azusa Takigawa" "Saki Akamiya" "Yuu" "Nodoka Tenma" "Marika Kobashi" "Candice LeRae" "Maho Kurone" "Hinako" "Reika Saiki" "Mil Clown" "Cherry" "Laura James" "Maki Itoh" "Sakisama" "Martha" "Yuna Manase" "Mizuki" "Yukio Saint Laurent" "Yuki Kamifuku" "Solo Darling" "Meiko Satomura" "Shiro Koshinaka" "Miu Watanabe" "Pinano Pipipipi" "Hikari Noa" "Raku" "Veda Scott" "Danshoku Dieno" "Riho" "Samara" "Priscilla Kelly" "Yuki Aino" "Su Yung" "Jun Kasai" "Mina Shirakawa" "Haruna Neko" "Pom Harajuku" "YUMI" "Makoto Oishi"
"119" "Let's Go! Go! If You Go! When You Go! If You Get Lost Just Go To Yokohama!" 2018-03-10 1724.33381176488 1513.44128144795 1572.36584796778 1649.46220985023 1469.16826181481 1500.18506319521 1577.86568193306 1496.80499994093 1511.38185465919 1417.10038457523 1599.72319755566 1551.14203340603 1576.29541922167 1365.46465069424 1418.24297869387 1290.61813001902 1526.3162614417 1665.41010117258 1292.11296912873 1301.89837247059 1669.20717730139 1423.72944716105 NA 1629.41242239606 1598.12488673141 1753.84832679774 1537.18680372628 1379.39873383414 1615.08163039309 1514.12808357654 1522.57380405308 1558.14154463069 1503.39555030856 1379.04993975638 1581.56342870579 1884.82944885391 2121.60166337656 1497.1700681404 1487.07814219941 1482.10388519542 1510.64690407502 1626.60604110435 1782.11085162523 1722.90238010628 1528.76669320162 NA NA NA NA NA NA NA NA NA
"120" "Let's Go! Go! If You Go! When You Go! If You Get Lost Just Go To Itabashi!" 2018-03-21 1720.42800818188 1513.44128144795 1572.36584796778 1639.74253783632 1469.16826181481 1500.18506319521 1583.87094499081 1496.80499994093 1521.1015266731 1417.10038457523 1599.72319755566 1551.14203340603 1576.29541922167 1359.4593876365 1418.24297869387 1298.429737185 1526.3162614417 1668.63654895939 1300.89722969684 1294.0867653046 1669.20717730139 1428.589283168 NA 1624.5525863891 1598.12488673141 1753.84832679774 1537.18680372628 1379.39873383414 1618.98743397608 1514.12808357654 1522.57380405308 1565.98728970132 1503.39555030856 1375.82349196957 1581.56342870579 1884.82944885391 2121.60166337656 1492.77793785635 1491.47027248347 1474.25814012479 1501.86264350691 1626.60604110435 1782.11085162523 1722.90238010628 1528.76669320162 NA NA NA NA NA NA NA NA NA
"121" "Yokodai Station Event Wrestling Part 1 (2018)" 2018-03-31 1722.06870816168 1513.44128144795 1572.36584796778 1645.63824461854 1469.16826181481 1500.18506319521 1586.81879838192 1496.80499994093 1521.1015266731 1417.10038457523 1599.72319755566 1551.14203340603 1576.29541922167 1359.4593876365 1418.24297869387 1298.429737185 1526.3162614417 1665.68869556828 1299.25652971704 1307.77559374536 1669.20717730139 1414.90045472725 NA 1624.5525863891 1598.12488673141 1753.84832679774 1537.18680372628 1379.39873383414 1618.98743397608 1514.12808357654 1522.57380405308 1565.98728970132 1503.39555030856 1375.82349196957 1581.56342870579 1884.82944885391 2121.60166337656 1492.77793785635 1491.47027248347 1468.36243334256 1501.86264350691 1626.60604110435 1782.11085162523 1722.90238010628 1528.76669320162 NA NA NA NA NA NA NA NA NA
"122" "Yokodai Station Event Wrestling Part 2 (2018)" 2018-03-31 1728.49805301629 1513.44128144795 1572.36584796778 1642.42357219124 1469.16826181481 1500.18506319521 1594.42116058306 1496.80499994093 1530.28810939696 1417.10038457523 1599.72319755566 1551.14203340603 1576.29541922167 1353.03004278189 1418.24297869387 1298.429737185 1526.3162614417 1665.68869556828 1299.25652971704 1310.99026617266 1669.20717730139 1414.90045472725 NA 1624.5525863891 1598.12488673141 1753.84832679774 1537.18680372628 1379.39873383414 1618.98743397608 1514.12808357654 1522.57380405308 1565.98728970132 1503.39555030856 1375.82349196957 1581.56342870579 1884.82944885391 2121.60166337656 1483.5913551325 1491.47027248347 1468.36243334256 1494.26028130577 1626.60604110435 1782.11085162523 1722.90238010628 1528.76669320162 NA NA NA NA NA NA NA NA NA
"123" "Let's Go To Oji In The Spring, Together With Your Friends!" 2018-04-07 1730.15637759166 1513.44128144795 1572.36584796778 1647.77117271855 1469.16826181481 1500.18506319521 1599.91742611574 1496.80499994093 1536.58267029524 1417.10038457523 1599.72319755566 1551.14203340603 1576.29541922167 1346.73548188361 1418.24297869387 1301.880039897 1526.3162614417 1670.87997306078 1299.20002267287 1309.33194159729 1669.20717730139 1418.04773517638 NA 1624.5525863891 1598.12488673141 1753.84832679774 1537.18680372628 1374.107640351 1625.88803940008 1514.12808357654 1522.57380405308 1562.53698698932 1503.39555030856 1368.92288654557 1581.56342870579 1884.82944885391 2121.60166337656 1478.40007764 1494.2184052498 1462.86616780988 1491.51214853944 1626.60604110435 1782.11085162523 1722.90238010628 1528.76669320162 1550.18605288419 NA NA NA NA NA NA NA NA
"124" "Let's Go To Kasukabe In The Spring, Together With Your Friends!" 2018-04-08 1733.53491140825 1513.44128144795 1572.36584796778 1655.0340481624 1469.16826181481 1500.18506319521 1601.60669302403 1496.80499994093 1533.20413647864 1417.10038457523 1599.72319755566 1551.14203340603 1576.29541922167 1339.21158205626 1418.24297869387 1309.40393972435 1526.3162614417 1667.1180231471 1294.98856791725 1306.53017348381 1669.20717730139 1416.35846826809 NA 1627.35435450258 1598.12488673141 1753.84832679774 1537.18680372628 1376.21336772881 1629.64998931375 1514.12808357654 1522.57380405308 1566.74844174493 1503.39555030856 1366.81715916776 1581.56342870579 1884.82944885391 2121.60166337656 1484.94368843984 1487.67479444997 1459.59436240997 1494.78395393935 1626.60604110435 1782.11085162523 1722.90238010628 1528.76669320162 1542.92317744034 NA NA NA NA NA NA NA NA
"125" "Let's Go To Osaka In The Spring, Together With Your Friends!" 2018-04-15 1726.95230499182 1513.44128144795 1572.36584796778 1658.4193923249 1469.16826181481 1500.18506319521 1603.29936510529 1496.80499994093 1539.78674289507 1417.10038457523 1599.72319755566 1551.14203340603 1576.29541922167 1335.82623789376 1418.24297869387 1316.97529154456 1526.3162614417 1663.332347237 1292.92550772071 1303.2388702756 1669.20717730139 1419.6497714763 NA 1624.06305129436 1598.12488673141 1753.84832679774 1537.18680372628 1379.50467093702 1633.43566522386 1514.12808357654 1522.57380405308 1570.87456213802 1503.39555030856 1359.24580734755 1581.56342870579 1884.82944885391 2121.60166337656 1494.21536809421 1483.54867405688 1450.3226827556 1496.8470141359 1626.60604110435 1782.11085162523 1722.90238010628 1528.76669320162 1541.23050535909 NA NA NA NA NA NA NA NA
"126" "Yes! Wonderland 2018 ~Break Myself!~" 2018-05-03 1732.03222825183 1513.44128144795 1572.36584796778 1663.25924969296 1469.16826181481 1500.18506319521 1605.71929378932 1496.80499994093 1534.70681963507 1417.10038457523 1599.72319755566 1551.14203340603 1576.29541922167 1334.84075110564 1418.24297869387 1310.08699607917 1526.3162614417 1667.12327786862 1291.0300424049 1310.12716574099 1669.20717730139 1414.80991410824 NA 1627.50719902706 1598.12488673141 1753.84832679774 1537.18680372628 1377.07136967947 1629.99151749116 1514.12808357654 1528.50573191706 1567.90859820603 1503.39555030856 1362.21177127954 1581.56342870579 1884.82944885391 2121.60166337656 1491.24940416222 1486.51463798887 1452.21814807141 1490.91508627192 1626.60604110435 1782.11085162523 1725.33568136383 1528.76669320162 1541.23050535909 1496.20906936838 1644.24673798264 1850.98548678812 NA NA NA NA NA
"127" "Let's Go To Itabashi In The Spring, Bring Your Friends Together!" 2018-05-05 1729.46947931563 1513.44128144795 1572.36584796778 1668.79033636874 1469.16826181481 1500.18506319521 1608.28204272552 1496.80499994093 1532.14407069886 1417.10038457523 1599.72319755566 1551.14203340603 1576.29541922167 1344.68469881798 1418.24297869387 1314.26168025969 1526.3162614417 1662.9485936881 1288.78834736521 1305.00166786859 1669.20717730139 1410.5960251001 NA 1627.50719902706 1598.12488673141 1753.84832679774 1537.18680372628 1379.63411861568 1638.3408858522 1514.12808357654 1534.77321720688 1573.03409607844 1503.39555030856 1354.60951860689 1581.56342870579 1884.82944885391 2121.60166337656 1488.11566151731 1480.24715269904 1443.86877971037 1494.04882891683 1626.60604110435 1782.11085162523 1725.33568136383 1528.76669320162 1541.23050535909 1490.6779826926 1648.46062699078 1850.98548678812 NA NA NA NA NA
"128" "Let's Go To Kitazawa In The Spring, Together With Your Friends!" 2018-05-19 1733.56994197225 1513.44128144795 1572.36584796778 1672.49407496435 1469.16826181481 1500.18506319521 1611.02507135373 1496.80499994093 1540.95621540818 1417.10038457523 1599.72319755566 1551.14203340603 1576.29541922167 1342.83282952017 1418.24297869387 1312.53726961202 1526.3162614417 1666.39741498344 1286.045318737 1308.4316795248 1669.20717730139 1410.5960251001 NA 1634.36722233948 1598.12488673141 1753.84832679774 1537.18680372628 1372.77409530326 1636.61647520453 1514.12808357654 1536.49762785455 1569.60408442223 1503.39555030856 1351.16069731156 1581.56342870579 1884.82944885391 2121.60166337656 1489.96753081511 1476.54341410344 1445.59319035804 1489.94836626021 1626.60604110435 1782.11085162523 1725.33568136383 1528.76669320162 1541.23050535909 1481.86583798328 1648.46062699078 1850.98548678812 NA NA NA NA NA
