"Event" "Date" "Miyu Yamashita" "KANNA" "Chikage Kiba" "Shoko Nakajima" "Ayumi Takada" "Nonoko" "Yuka Sakazaki" "Ura Erika" "Rika Tatsumi" "Erin" "Saki Akai" "Akane Miura" "Ai Shimizu" "Hyper Misao" "MIZUHO" "Azusa Takigawa" "Saki Akamiya" "Yuu" "Nodoka-Oneesan" "Marika Kobashi" "Candice LeRae" "Maho Kurone" "Hinako" "Reika Saiki" "Mil Clown" "Cherry" "Laura James" "Maki Itoh" "Sakisama" "Martha" "Yuna Manase" "Mizuki" "Yukio Saint Laurent" "Yuki Kamifuku" "Solo Darling" "Meiko Satomura" "Shiro Koshinaka"
"41" "The Girls Battle 2015 Round 8" 2015-08-29 1618.4895220213 1487.57826026319 1572.8018404591 1501.56434529531 1469.17568639486 1572.42793408072 1394.46464019048 1496.75982569338 1449.22987094148 1422.00654530249 1593.43371998913 1529.40172741383 1516.62260061231 1446.56921299281 1444.4742683496 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "You Grow Up" 2015-09-22 1625.20546423929 1487.57826026319 1572.8018404591 1514.14860797037 1469.17568639486 1560.83539923868 1388.82319211551 1496.75982569338 1446.40914690399 1424.82726933997 1580.84945731407 1535.04317548881 1528.21513545435 1436.50891636973 1454.53456497268 1493.28405778201 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" "Go Up Higher!" 2015-10-12 1623.0303086595 1491.92857142278 1572.8018404591 1506.94943754536 1469.17568639486 1568.91524999869 1386.64803653571 1496.75982569338 1442.0588357444 1435.68023636864 1583.02461289386 1543.92215969106 1530.39029103414 1434.8291025925 1443.68159794401 1485.20420702199 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "The Girls Battle 2015 Round 9" 2015-10-24 1630.7919416195 1497.43914022848 1572.8018404591 1509.7047219482 1469.17568639486 1566.15996559584 1398.11134650005 1496.75982569338 1436.54826693871 1438.43552077149 1583.02461289386 1536.16052673106 1527.6350066313 1418.98582121316 1440.2024276524 1477.22006734927 1515.84328137934 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"45" "A Girl's Counterattack" 2015-11-07 1626.2399152689 1501.99116657907 1572.8018404591 1505.8852034114 1469.17568639486 1568.43597877114 1395.83533332475 1496.75982569338 1430.45434708238 1435.38856084332 1583.02461289386 1538.43653990636 1536.64156690345 1422.03278114133 1435.01538591705 1474.94405417397 1521.93720123567 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" "Turn The Next Corner" 2015-12-22 1632.80878540917 1495.4222964388 1572.8018404591 1513.74760940364 1469.17568639486 1576.02809936477 1394.78007639077 1496.75982569338 1422.59194109014 1431.91209900677 1583.02461289386 1531.48361623326 1543.79719138933 1425.50924297787 1427.85976143117 1468.40719051433 1528.89012490877 1510 1490 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" "Tokyo Joshi Pro '16" 2016-01-04 1639.51005656197 1486.80570968748 1572.8018404591 1507.04633825084 1469.17568639486 1586.66017772859 1391.53582795771 1496.75982569338 1429.04499475855 1428.68557217257 1583.02461289386 1541.40897093892 1552.41377814065 1420.22517888457 1422.51174716065 1461.95413684592 1518.96477020311 1519.42498872215 1480.57501127785 1503.22652683421 1683.24424843305 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" "Battle Mission 2016 Code.1" 2016-01-24 1644.93595453038 1484.422713464 1572.8018404591 1509.75928723504 1469.17568639486 1583.94722874438 1385.05906745968 1496.75982569338 1423.61909679014 1428.68557217257 1583.02461289386 1541.40897093892 1557.17977058762 1420.22517888457 1424.89474338414 1457.18814439895 1518.96477020311 1525.90174922019 1478.19201505436 1505.60952305769 1683.24424843305 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"49" "Battle Mission 2016 Code.2" 2016-02-06 1642.13122783816 1476.92907811311 1572.8018404591 1519.63985310025 1469.17568639486 1589.55668212883 1379.44961407524 1496.75982569338 1420.8710468009 1428.68557217257 1583.02461289386 1537.66215326347 1559.98449727984 1423.97199656001 1424.89474338414 1451.69204442047 1526.458405554 1528.64979920943 1483.68811503285 1495.72895719248 1683.24424843305 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" "Battle Mission 2016 Code.3" 2016-02-21 1637.27122453806 1488.34506759204 1572.8018404591 1517.2098514502 1469.17568639486 1594.41668542893 1377.01961242519 1496.75982569338 1423.30104845095 1428.68557217257 1583.02461289386 1544.50188792217 1562.41449892989 1417.13226190132 1424.89474338414 1446.05798450541 1515.04241607507 1540.82765947311 1477.14431468423 1495.72895719248 1683.24424843305 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
